text_a1,binary_annotation_a1,binary_annotation_a2,binary_annotation_a3
"El descubrimiento de que el Universo se expande de manera acelerada dio en 2011 el premio Nöbel a Saul Perlmutter , Brian Schmidt y Adam Reiss . Si te interesa aprender un poco más del tema , te invitamos a revisar este repositorio https://t.co/TFSzyI592k",0,0,1
"El virus SARS-CoV-2 causa una enfermedad de leve a grave que actualmente no tiene un tratamiento específico . La medida preventiva más importante es la higiene y el lavado de manos frecuente . 🙌 

 Conoce más en nuestro artículo 👉 https://t.co/6JJnVIZTck 
 # QuédateEnCasa # COVID_19 https://t.co/c9UB1yF1Yu",0,0,0
"¡ Aprecio tu consulta , @Belugordo ! Pertenece a la familia # Theraphosidae , anteriormente se incluía dentro del género Davus , pero estudios recientes indican que esto podría ser diferente . No son consideradas de importancia médica # NIM ✅ Saludos https://t.co/tnh1ypLy3C",0,0,0
"# ImagendelDía 📸 | La rana pico de pato del Pacífico es una especie de rana endémica de México . Su hábitat natural son los bosques secos subtropicales o tropicales . Mide entre 6.1 y 10.1 cm . Su color es variable entre amarillo , gris oliva o verde . 🐸 https://t.co/FU0uKKUOo4",0,1,1
"El 24 de junio varios planetas estarán en la misma región del cielo durante el amanecer . Será dificil verlos desde MEX pues la Luna será casi llena , es época de lluvias y se requiere de un horizonte este despejado ; además de binocuares o un telescopio pequeño . ( Universe Today ) https://t.co/b7ktb4w9Wm",0,0,0
"👉 RECUERDA QUE : 
  - podrás ver el eclipse a simple vista pero con unos binoculares o un telescopio se apreciará mejor 
  - la luna no se verá “ rojo sangre ” sino más bien de un tono anaranjado 
 - consulta los horarios para observar eclipse según tu zona horaria 

 ✨ ✨ ✨ ✨ ✨ ✨ ✨ ✨ ✨ ✨",0,0,1
"Pero , ¿ Es posible ver el efecto Coriolis a una menor escala ; como en tu retrete o lavabo ? Muy probablemente en tu casa algunos drenajes giran hacia un lado y otros hacia otro , es más ¡ el agua del mismo retrete podría girar hacia un lado , y al día siguiente al otro !",0,1,0
"Se adapta a diferentes condiciones de luz y puede distinguir sutiles variaciones de color . Es un mecanismo tan complejo que pareciera diseñado , tanto que se ha usado como evidencia en contra de la teoría de la evolución .",0,0,0
"¿ Vivimos en una simulación ? 

 Bueno , pero ¿ hay indicios de que esto pueda ser así ? Pues … ¡ chan chan chan chaaan ! ¡ Sí ! O sea , nada que permita hacer una afirmación concluyente , pero sí como para tomarnos la barbilla y decir “ hummmm … """,0,0,0
📐 El matemático Talleyrand llamó la atención de la Asamblea Nacional Francesa para que buscara un sistema uniforme de medidas .,0,0,0
El telescopio espacial Hubble ha fotografiado numerosas galaxias en proceso de fusión . Estas observaciones nos muestran cómo las grandes galaxias como la nuestra o Andrómeda aumentan de tamaño integrandose con otras galaxias.(NASA / Hubble ) https://t.co/YWw7aHnfRt,0,1,1
"Esto de los # NFTs tiene muchas cosas detrás , en nuestro vídeo te contamos si son una buena idea . 

 Un consejo , ten mucha cautela , no arriesgues tu patrimonio . 
 https://t.co/aUkSB6mNv9",1,1,1
Los astrónomos acaban de realizar una revolucionaria e innovadora aportación a la cosmología moderna . https://t.co/fmEND4L3tx,0,0,0
"¿ Se han preguntado con que especies de arácnidos compartimos espacios ? Pues @TchilinguirianJ lo hizo y elaboró este interesante poster . 
 Podemos relacionar la ubicación de las arañas con sus hábitos . 
 Este ejercicio se llevó a cabo en Francia . ¡ Genial ! https://t.co/Z7uxiYxnOm",0,0,0
"🗓 ¿ Ya apartaron el sábado 30 de abril ? 🗓 
 💫 Aprende y diviértete con los talleres de Astronomía🪐 
 💥 Entrada libre y gratuita . 
 ⏰ De 10 am a 2 pm ⏰ 
 📌 Islas de Ciudad Universitaria 🗓 
 # FESTIVALDELANIÑEZ https://t.co/l4ycYj1fg8",0,0,1
Cada vez hay más chatarra espacial . Varias naciones están diseñando estrategias para eliminarlas . Los satélites desechados y sus partes son una amenaza para nuevos satélites y las observaciones astronómicas . ( https://t.co/1awgHbIj8Z ) https://t.co/MjiKhEK2RP,0,0,1
"¿ Cómo cambian de color los animales que cambian de color ? https://t.co/n3QCh0Izl7 
 # DivulgaCiencia # divulgación https://t.co/weZpwxYIr7",0,0,0
Triángulo de las bermudas desmentido https://t.co/17ZZ3Mu1b8,0,0,0
"¿ Cómo es el movimiento de una estrella alrededor de un # AgujeroNegroSupermasivo ? 
 En este video se puede apreciar el análisis de las observaciones a una estrella que orbita alrededor del enorme agujero negro de nuestra galaxia . 
 https://t.co/aCoic5e1OC vía @YouTube",0,1,0
"Cada día se acumula más chatarra espacial . La comunidad Europea es quien tiene proyetos más avanzados para eliminarla : redes , espumas pegajosas , pinzas extensibles . Es prioritario mantener el espacio libre de chatarra para evitar que se dañen satélites y colisiones en la Tierra . https://t.co/VUChfemuAs",0,0,1
"Junto a la pandemia de # coronavirus , la humanidad está siendo víctima de la "" infodemia "" , la cual pone en peligro tu salud 😱 # CómoVes 👀 

 Conoce junto a Martín Bonfil y su # OjoDeMosca , Las mentiras de la pandemia 👉 https://t.co/Nl4CZwppNM https://t.co/VvTAuHVkuY",1,1,1
"Cada vez se descubren más “ flotadores libres ” planetas gigantes similares a Júpiter o Saturno que no se trasladan en torno de ningua estrella , en sus órbitas en torno del centro de la galaxia los acompañan sus numeroso satélites . ( ESO / NASA / Nature ) https://t.co/49Dt3BiUZp",1,1,1
"De acuerdo con la ciencia , estos son los pasos para crear un agujero de gusano .",1,1,0
"Los glaciares del polo sur de Marte forman glaciares . Están compuestos principalmete de hielo seco , CO2 congelado . El cambio el casquete polar norte esta compuesto con mayor cantidad de hielo de agua . Sólo se han descubierto glaciares en Plutón , Marte y la Tierra . ( ESA / NASA ) https://t.co/XVXDaY9ZiQ",1,0,0
"¿ Has escuchado sobre el bombardeo de nubes? ☁ ️ 

 ¡ Te explicamos en colaboración con el @ICAyCC_UNAM ! 

 # MásCiencia https://t.co/E7Phi5g8nA",1,1,1
Científicos exponen a los hongos que amenazan la salud humana en la realidad,0,0,1
"¡ El Sol tiene una mancha solar visible a simple vista ( con filtro ) ! Utiliza un filtro para eclipses y podrás ver un punto negro en el centro del Sol , es la región activa AR 3190 que aparece en la imagen . Foto de esta mañana . https://t.co/jVAZz6jBza",0,0,1
"# AmbienteyNaturaleza | La meteorología y la hidrología pueden decirnos mucho sobre cómo se encuentra el planeta y la situación del Cambio Climático 🌨 ️ 🌤 ️ # DíaMeteorológicoMundial 
 https://t.co/48cnMuVOp5",1,1,1
"¿ Volverán los dinosaurios ? 🦖 

 La paleogenómica es una joven disciplina que nos abre una ventana al pasado para entender mejor nuestro presente . 

 ¿ Quieres saber más ? 🔍 
 La @RevistaComoVes te cuenta en la edición de septiembre : https://t.co/XWy6FKfCug https://t.co/HkJWnFzgS2",0,1,1
¿ Qué tanto cambian los sonidos cuando nos transportamos a un planeta con una atmósfera diferente ? La NASA ahora nos permite simular sonidos en la atmósfera marciana . ¿ Te has preguntado cómo sonaría una marimba en Marte ? Descúbrelo en nuestro NUEVO VIDEO: 👉 https://t.co / ZcD6JpT4lr https://t.co/CVvNeYXgNC,0,0,0
"En este video explico algunos conceptos de ciencia que supuestamente están detrás de la serie de Netflix “ Dark ” 
 https://t.co/iE5hvmgBcd https://t.co/vR6m9VqgHl",0,0,0
"🔭 ¿ Sabías que México tiene un telescopio dedicado a la búsqueda de # Exoplanetas ? 🤓 
 ¿ Quieres saber más de los planetas que giran alrededor de otras estrellas ? 😎 HOY en @iaunam a partir de las 5 pm ( entrega de boletos ) . 
 ¡ EVENTO GRATUITO ! https://t.co/YvYLFw2qa7 vía @YouTube",0,0,1
"# Salud | ¿ Qué tanto sabes sobre ómicron ? 🦠 Conoce más sobre esta nueva variante de la # COVID19 , su capacidad de infección y la inmunidad del cuerpo 😷 
 👉 https://t.co/V0VJUottPG https://t.co/yKTcbWz22X",0,0,0
"👨 ‍ 🏫 A mediados del siglo XVII , los matemáticos habían logrado calcular volúmenes y centroides , aunque todavía la relación inversa entre la derivada y la integral no se había explicado .",0,0,0
"Llegó el # DíaMundialDeLosAnfibios a   recordarnos que es uno de los grupos más amenazados de extinción por la extracción ilegal y el deterioro de su hábitat . 

 Evitemos comprarlos , o extraerlos de su hábitat , para tenerlos como mascotas . 

 ¡ Tu vida con # MásCiencia ! 🐸 https://t.co/kDscbUOBbu",0,0,0
"Para crear la primera imagen el hoyo negro se emplearon la suma de un número inmenso de fotones de longitudes de onda de radio frecuencias , observados de manera simultánea por varios de radio telescopios localizados en distintos países , incluido México . ( Denis Oberbey ) https://t.co/PmTw9UwpSw",0,1,0
"Por primera vez un hombre recibe un trasplante de # corazón de cerdo modificado genéticamente , ya que se consideró que no era apto para un # trasplante convencional . Sin embargo , aún no están claras las posibilidades de supervivencia a largo plazo . https://t.co/l7Fwc5byCv",0,0,0
"Sylvester James Gates , investigador de la teoría de cuerdas , estudiando las ecuaciones relacionadas con aspectos fundamentales del universo , como las supersimetrías , se encontró con procedimientos matemáticos muy similares a los “ códigos de corrección de errores ” https://t.co/536KNthki8",0,1,1
"El astrónomo Joel Castro nos platica de qué se trata la misión DART que planea estrellar un objeto contra un asteroide . ¿ Para qué ? 
 Aquí el video . 
 https://t.co/lQ7ARh5ekN",0,0,0
😎 La famosa regla de tres simple se utiliza para encontrar el cuarto término en una proporción .,0,0,1
"20/35 
 Los peces osteictios u óseos pueden flotar ya que tienen vejigas natatorias , tienen huesos , gracias a ellos nuestro esqueleto es óseo . De estos peces un grupo llamado pulmonados , pueden respirar aire , ya que usaron sus vejigas como pulmones , por ellos tenemos pulmones . https://t.co/m1x49qFidE",0,1,1
"🌀 ¿ Sabes qué son las galaxias enanas ? 🌀 
 ⚠ ️ Te compartimos una infografía con detalles curiosos de este tipo de galaxias 👇 https://t.co/k6wNfWUTt2",0,1,1
"Estos mecanismos no los podemos controlar voluntariamente , pero entre los factores que sí podemos controlar , son la contaminación ambiental , el HUMO DEL CIGARRO , el consumo de alcohol , la radiación ultravioleta y la mala nutrición .",0,0,0
La astrónoma Gloria Delgado nos platica sobre Betelgeuse . ¿ Qué está pasando con esta estrella ? ¿ Explotará en poco tiempo ? No te pierdas este audio 🌟   https://t.co/W89FS9YYDU,0,0,0
"# AstroHilo # Hilo # Thread 🧵 
 🌌 TODO lo que necesitas saber sobre # BETELGEUSE 🌟 , la estrella que NO EXPLOTARÁ COMO # SUPERNOVA MAÑANA , ni la próxima semana , pero tal vez en cien mil años . 💥 1/ 
 Foto : Bob King @SkyandTelescope https://t.co/2V7vjaUY3y",0,1,1
"# Salud | ¿ Y si no pudieras relacionarte socialmente con otros ? Estas condiciones son propias del síndrome . # DíaInternacionaldelSíndromedeAsperger 
 https://t.co/uCw78gyxO0",0,0,0
"# ImagendelDía 📸 | En Venezuela se encuentra la cascada más alta del mundo , llamada el Salto del Ángel , la cual es patrimonio de la humanidad desde 1994 . https://t.co/8YBujo8j0P",0,0,1
"Gracias por su apoyo a El Explicador en Patreon : https://t.co/leMX8fryBW 
 PayPal : elexplicadorpatrocinio@gmail.com 
 Escuche / descargue ( MP3 ) ¿ Sequías ? Solución de más de 8,000 años 2023/01/23 . 
 Escuche / descargue ( MP3 ) Plantas Carnívoras Mutantes 2023/01/24 .",0,0,0
"# AmbienteyNaturaleza | ¿ Sabías que hay cientos de variedad de # NocheBuenas gracias a la selección y mejoramiento genético ? 🌺 🌺 🌺   En estas fechas # CelebraConCiencia 
 https://t.co/PmKAahrm8p",0,0,0
"Cae la noche , y con ella llega su fiel cómplice : el murciélago . 🦇 

 En realidad , ¡ cómplice del Medio Ambiente ! Gracias a ellos podemos , por ejemplo , degustar de nuestro café por las mañanas o de nuestros brindis tequileros . 

 # RedescubreLaCiencia con los murciélagos , ¡ a cuidarlos ! https://t.co/uHqaJ4xySQ",1,1,0
"Escuche / descargue 20/10/07 Nobel de Química Charpentier , Doudna . El Explicador . Programa . en https://t.co/aps3voGOfT Suscríbase al canal . Agradecemos su interés , comentarios , preguntas , apoyo y por compartir . Gracias por su apoyo al https://t.co/7g4bTfgHQm y Patreon .",0,0,0
"Un tema del que no se habla tanto desde una perspectiva científica . ¿ La # marihuana es nociva o saludable ? 
 https://t.co/mUBh5v6G8r 
 # DivulgaCiencia @YouTubeMexico https://t.co/DhGQ7FAjLF",0,0,0
"Fue un tremendo éxito para la gravitación de Newton y para la ciencia del siglo XIX . 

 La sonda Voyager 2   sobrevoló Neptuno en 1989 y lo fotografió ( reprocesamientos digitales por Kevin M. Gill ) . Sigue siendo la única sonda en haberlo visitado . 

 Texto de Meithan West .",0,1,0
"¿ Esto te resulta gracioso ? 

 Espera a que te hablemos de las computadoras cuánticas 🤯 🤖 🚀 ✏ ️ # LaCienciaEsChida https://t.co/BeaExjv4fJ https://t.co/UZZIuXUa6U",0,0,0
"# AmbienteyNaturaleza | Las hembras colocan en los frutos huevos fertilizados de los que salen larvas que se alimentan de su pulpa , además de que se pueden infectar con hongos y bacterias . 
 👉 https://t.co/BbVukrGSdA https://t.co/2DtzW3kxUP",0,0,0
"# UnDíaComoHoy nació Hedy Lamarr . 👩 ‍ 🔬 

 Fue coinventora del espectro ensanchado por salto de frecuencias que es la base del GPS , el Bluetooth y el WiFi . 📶 

 + de # MujeresenlaCiencia 👉 https://t.co/pE1DdNEIXw 
 + de Hedy Lamarr 👉 https://t.co/VzWC4dDEnJ https://t.co/E3oosjHna3",0,0,1
Así es la serpiente robot que la NASA planea enviar a una de las lunas de Saturno 👇,0,1,1
"¿ Podemos cosechar la luz del Sol ? ☀ ️ 
 Estamos # EnVivo con @CaDistancia 
 👉 https://t.co/eOKfz0CQpp https://t.co/iq9MqOgwto",1,1,1
🙌 La fórmula del producto de binomios con término común es : ( x + a)(x + b ) = x² + ( a + b)x + ab .,0,0,0
Parte de las tormentas de arena que atraviesan el Atlántico provenientes de África se generan en Namibia como muestra esta imagen . ( USGS / Landsat 8 / OLI ) https://t.co/yOjbFf0bOm,0,0,0
"# Tecnología | El satélite Mexicano Solidaridad II fue lanzado y puesto en órbita el 7 de octubre de 1994 . Fue vital para la conectividad entre México y Estados Unidos . 
 ¡ Aprende cómo se controlan estos artefactos desde la Tierra ! 🛰 ️ 
 https://t.co/Ignw0Ri8pv",1,0,0
